id,command,category,description,example_output,man_reference
cmd-001,cd /var/log,Navigation,Changes the current directory to /var/log.,"[No output, changes directory]",https://man7.org/linux/man-pages/man1/cd.1.html
cmd-002,pwd,Navigation,Prints the current working directory.,/home/user,https://man7.org/linux/man-pages/man1/pwd.1.html
cmd-003,ls -la,Navigation,Lists all files (including hidden) in long format.,drwxr-xr-x 2 user user 4096 May 21 2025 file.txt,https://man7.org/linux/man-pages/man1/ls.1.html
cmd-004,cp file.txt /backup,File Management,Copies file.txt to the /backup directory.,[No output if successful],https://man7.org/linux/man-pages/man1/cp.1.html
cmd-005,mv oldname.txt newname.txt,File Management,Renames or moves oldname.txt to newname.txt.,[No output if successful],https://man7.org/linux/man-pages/man1/mv.1.html
cmd-006,rm -rf directory,File Management,Recursively deletes directory and its contents.,[No output if successful],https://man7.org/linux/man-pages/man1/rm.1.html
cmd-007,touch newfile.txt,File Management,Creates an empty file named newfile.txt or updates its timestamp.,[No output if successful],https://man7.org/linux/man-pages/man1/touch.1.html
cmd-008,mkdir -p /path/to/newdir,File Management,Creates directory newdir with parent directories as needed.,[No output if successful],https://man7.org/linux/man-pages/man1/mkdir.1.html
cmd-009,cat logfile.txt,Viewing,Displays the contents of logfile.txt.,Log entry: 2025-05-21 11:02:00,https://man7.org/linux/man-pages/man1/cat.1.html
cmd-010,less largefile.txt,Viewing,Views largefile.txt with pagination.,[Interactive display of file content],https://man7.org/linux/man-pages/man1/less.1.html
cmd-011,head -n 5 access.log,Viewing,Displays the first 5 lines of access.log.,[First 5 lines of file],https://man7.org/linux/man-pages/man1/head.1.html
cmd-012,tail -n 10 error.log,Viewing,Displays the last 10 lines of error.log.,[Last 10 lines of file],https://man7.org/linux/man-pages/man1/tail.1.html
cmd-013,uname -a,System Info,"Displays all system information (kernel, hostname, etc.).",Linux host 5.15.0-73-generic #80-Ubuntu SMP,https://man7.org/linux/man-pages/man1/uname.1.html
cmd-014,top,System Info,Displays real-time system processes and resource usage.,[Interactive process monitor],https://man7.org/linux/man-pages/man1/top.1.html
cmd-015,df -h,System Info,Shows disk usage in human-readable format.,"Filesystem Size Used Avail Use% Mounted on
/dev/sda1 100G 50G 50G 50% /",https://man7.org/linux/man-pages/man1/df.1.html
cmd-016,free -m,System Info,Displays memory usage in megabytes.,"total used free shared buff/cache available
Mem: 8192 4096 2048 512 2048 4096",https://man7.org/linux/man-pages/man1/free.1.html
cmd-017,chmod 755 script.sh,Permissions,"Sets script.sh to executable for all, readable/writable for owner.",[No output if successful],https://man7.org/linux/man-pages/man1/chmod.1.html
cmd-018,chown user:group file.txt,Permissions,Changes ownership of file.txt to user and group.,[No output if successful],https://man7.org/linux/man-pages/man1/chown.1.html
cmd-019,apt update,Package Management,Updates package lists for upgrades on Debian-based systems.,"Hit:1 http://archive.ubuntu.com/ubuntu focal InRelease
Reading package lists... Done",https://man7.org/linux/man-pages/man8/apt.8.html
cmd-020,apt install nginx,Package Management,Installs the nginx web server on Debian-based systems.,"Reading package lists... Done
Building dependency tree
Setting up nginx (1.18.0-6ubuntu14)...",https://man7.org/linux/man-pages/man8/apt.8.html
cmd-021,yum update,Package Management,Updates package lists for upgrades on CentOS/RHEL systems.,"Loaded plugins: fastestmirror
Determining fastest mirrors
No packages marked for update",https://man7.org/linux/man-pages/man8/yum.8.html
cmd-022,dnf install python3,Package Management,Installs Python 3 on Fedora-based systems.,Installing: python3-3.9.6-2.fc34.x86_64,https://man7.org/linux/man-pages/man8/dnf.8.html
cmd-023,ping -c 4 google.com,Networking,Sends 4 ICMP echo requests to google.com to check connectivity.,"4 packets transmitted, 4 received, 0% packet loss, time 3004ms",https://man7.org/linux/man-pages/man8/ping.8.html
cmd-024,ifconfig,Networking,Displays network interface configuration.,"eth0: flags=4163<UP,BROADCAST,RUNNING,MULTICAST> mtu 1500
inet 192.168.1.100",https://man7.org/linux/man-pages/man8/ifconfig.8.html
cmd-025,netstat -tulpn,Networking,Lists listening ports and associated processes.,tcp 0 0 0.0.0.0:22 0.0.0.0:* LISTEN 1234/sshd,https://man7.org/linux/man-pages/man8/netstat.8.html
cmd-026,whoami,User Management,Displays the current user's username.,user,https://man7.org/linux/man-pages/man1/whoami.1.html
cmd-027,id,User Management,Shows user and group IDs for the current user.,"uid=1000(user) gid=1000(user) groups=1000(user),4(adm),27(sudo)",https://man7.org/linux/man-pages/man1/id.1.html
cmd-028,adduser newuser,User Management,Interactively adds a new user to the system.,"Adding user `newuser' ...
Enter new UNIX password:",https://man7.org/linux/man-pages/man8/adduser.8.html
cmd-029,ps aux,Process,Lists all running processes with detailed information.,user 1234 0.1 0.2 123456 7890 ? S 11:02 0:00 /usr/bin/python3,https://man7.org/linux/man-pages/man1/ps.1.html
cmd-030,kill -9 1234,Process,Forcefully terminates the process with PID 1234.,[No output if successful],https://man7.org/linux/man-pages/man1/kill.1.html
cmd-031,htop,Process,Interactive process viewer with enhanced UI.,[Interactive process monitor],https://man7.org/linux/man-pages/man1/htop.1.html
cmd-032,vim file.txt,Editor,Opens file.txt in the Vim text editor.,[Interactive editor interface],https://man7.org/linux/man-pages/man1/vim.1.html
cmd-033,nano config.conf,Editor,Opens config.conf in the Nano text editor.,[Interactive editor interface],https://man7.org/linux/man-pages/man1/nano.1.html
cmd-034,cd ~,Navigation,Changes to the current user's home directory.,"[No output, changes directory]",https://man7.org/linux/man-pages/man1/cd.1.html
cmd-035,ls -R,Navigation,Recursively lists all files and subdirectories.,"./subdir:
file1.txt file2.txt",https://man7.org/linux/man-pages/man1/ls.1.html
cmd-036,cp -r dir1 dir2,File Management,Recursively copies dir1 to dir2.,[No output if successful],https://man7.org/linux/man-pages/man1/cp.1.html
cmd-037,mv dir1 /archive,File Management,Moves dir1 to the /archive directory.,[No output if successful],https://man7.org/linux/man-pages/man1/mv.1.html
cmd-038,rm file.txt,File Management,Deletes file.txt.,[No output if successful],https://man7.org/linux/man-pages/man1/rm.1.html
cmd-039,cat file1.txt file2.txt,Viewing,Concatenates and displays contents of file1.txt and file2.txt.,"Content of file1
Content of file2",https://man7.org/linux/man-pages/man1/cat.1.html
cmd-040,less -N logfile.txt,Viewing,Views logfile.txt with line numbers.,[Interactive display with line numbers],https://man7.org/linux/man-pages/man1/less.1.html
cmd-041,head access.log,Viewing,Displays the first 10 lines of access.log.,[First 10 lines of file],https://man7.org/linux/man-pages/man1/head.1.html
cmd-042,tail -f error.log,Viewing,Monitors error.log in real-time.,[Live updates of new lines],https://man7.org/linux/man-pages/man1/tail.1.html
cmd-043,uname -r,System Info,Displays the kernel release version.,5.15.0-73-generic,https://man7.org/linux/man-pages/man1/uname.1.html
cmd-044,df /,System Info,Shows disk usage for the root filesystem.,"Filesystem 1K-blocks Used Available Use% Mounted on
/dev/sda1 104857600 52428800 52428800 50% /",https://man7.org/linux/man-pages/man1/df.1.html
cmd-045,free -h,System Info,Displays memory usage in human-readable format.,"total used free shared buff/cache available
Mem: 8.0G 4.0G 2.0G 512M 2.0G 4.0G",https://man7.org/linux/man-pages/man1/free.1.html
cmd-046,chmod +x script.sh,Permissions,Makes script.sh executable by adding execute permission.,[No output if successful],https://man7.org/linux/man-pages/man1/chmod.1.html
cmd-047,chown -R user:group /data,Permissions,Recursively changes ownership of /data to user and group.,[No output if successful],https://man7.org/linux/man-pages/man1/chown.1.html
cmd-048,apt upgrade,Package Management,Upgrades installed packages to their latest versions on Debian-based systems.,"Reading package lists... Done
0 upgraded, 0 newly installed, 0 to remove",https://man7.org/linux/man-pages/man8/apt.8.html
cmd-049,yum install httpd,Package Management,Installs the Apache web server on CentOS/RHEL systems.,Installing: httpd-2.4.46-1.el8.x86_64,https://man7.org/linux/man-pages/man8/yum.8.html
cmd-050,dnf update,Package Management,Updates package lists and upgrades packages on Fedora-based systems.,"Last metadata expiration check: 0:00:01 ago
No packages marked for update",https://man7.org/linux/man-pages/man8/dnf.8.html
cmd-051,ping 8.8.8.8,Networking,Sends ICMP echo requests to Google's public DNS server.,64 bytes from 8.8.8.8: icmp_seq=1 ttl=117 time=20.0 ms,https://man7.org/linux/man-pages/man8/ping.8.html
cmd-052,ifconfig eth0,Networking,Displays configuration for the eth0 network interface.,"eth0: flags=4163<UP,BROADCAST,RUNNING,MULTICAST> mtu 1500
inet 192.168.1.100",https://man7.org/linux/man-pages/man8/ifconfig.8.html
cmd-053,netstat -an,Networking,Lists all active network connections and ports.,tcp 0 0 0.0.0.0:22 0.0.0.0:* LISTEN,https://man7.org/linux/man-pages/man8/netstat.8.html
cmd-054,whoami,User Management,Displays the current user's username.,user,https://man7.org/linux/man-pages/man1/whoami.1.html
cmd-055,id newuser,User Management,Shows user and group IDs for newuser.,uid=1001(newuser) gid=1001(newuser) groups=1001(newuser),https://man7.org/linux/man-pages/man1/id.1.html
cmd-056,adduser --home /home/testuser testuser,User Management,Adds testuser with a specified home directory.,"Adding user `testuser' ...
Enter new UNIX password:",https://man7.org/linux/man-pages/man8/adduser.8.html
cmd-057,ps -ef,Process,Lists all processes with full details.,uid 1234 user 0.0 0.1 123456 7890 ? S 11:02 0:00 /usr/bin/python3,https://man7.org/linux/man-pages/man1/ps.1.html
cmd-058,kill 1234,Process,Terminates the process with PID 1234 gracefully.,[No output if successful],https://man7.org/linux/man-pages/man1/kill.1.html
cmd-059,htop -u user,Process,Shows processes for a specific user in htop.,[Interactive process monitor for user],https://man7.org/linux/man-pages/man1/htop.1.html
cmd-060,vim +10 file.txt,Editor,Opens file.txt in Vim at line 10.,[Interactive editor interface],https://man7.org/linux/man-pages/man1/vim.1.html
